// Integrated intensity data: C:/GDrive/PostDoc-Juelich/7_NBMP-Nikolaos/4_D23-6Tvmag/mag0T1200mK/mag3-1200mK-0T.int
      h      k      l      Ical      Iobs     dIobs
  0.000  0.000  0.000     12.89     13.20      0.53
  0.000  0.000  1.000      5.92      6.39      0.51
  0.000  0.000  1.000      4.60      4.45      0.39
 -1.000 -1.000  0.000     10.11      9.82      0.49
  1.000  1.000  1.000      7.94      7.75      0.53
  0.000  0.000 -2.000      1.49      1.26      0.58
 -1.000 -1.000  1.000      6.04      5.52      0.58
  0.000  0.000  2.000      1.37      1.54      0.53
 -1.000 -1.000 -2.000      3.66      3.94      0.64
  1.000  1.000 -2.000      2.40      2.05      0.87
  1.000  1.000  3.000      1.40      1.89      1.79
 -1.000 -1.000  0.000      4.10      4.65      0.83
 -1.000 -1.000 -2.000      2.06      2.38      0.68
  2.000  2.000  1.000      2.03      2.31      0.74
  1.000  1.000 -3.000      1.15      1.19      0.86
 -2.000 -2.000  1.000      1.83      1.75      0.92

