// Integrated intensity data: C:/GDrive/PostDoc-Juelich/7_NBMP-Nikolaos/6_D23-finalized/mag_600mK_0T/mag0T600mK-b3-toto_ppp-cull208.fsq
      h      k      l      Ical      Iobs     dIobs
 -0.000 -0.000  0.000     49.88     52.36      0.65
  0.000  0.000  1.000     39.86     41.82      0.57
 -0.000 -0.000  1.000     34.80     34.48      0.60
 -1.000 -1.000  0.000     39.65     36.89      0.61
  1.000  1.000  1.000     35.45     35.45      0.65
  0.000  0.000  2.000     26.49     26.50      0.68
 -1.000 -1.000  1.000     31.01     30.15      0.72
 -0.000 -0.000  2.000     22.65     22.40      0.72
  1.000  1.000  2.000     24.28     24.97      0.67
 -1.000 -1.000  2.000     20.02     19.26      1.10
  0.000  0.000  3.000     16.30     15.99      1.17
 -0.000 -0.000  3.000     13.32     10.81      2.28
  1.000  1.000  3.000     14.58     14.15      2.36
 -1.000 -1.000  0.000     16.72     15.60      1.04
 -1.000 -1.000  1.000     15.53     13.98      1.74
 -1.000 -1.000  3.000     11.57     10.05      1.96
 -1.000 -1.000 -1.000     14.40     14.06      1.63
  0.000  0.000  4.000      8.95      7.90      1.38
 -1.000 -1.000  2.000     11.73      8.86      1.09
 -1.000 -1.000 -2.000     10.23      9.47      0.80
  1.000  1.000  4.000      7.91      6.88      0.83
 -0.000 -0.000  4.000      7.02      6.15      0.74
 -2.000 -2.000  0.000      9.33      8.32      0.64
 -2.000 -2.000 -1.000      8.81      8.67      0.79
  1.000  1.000 -3.000      7.53      6.15      0.87
 -1.000 -1.000  4.000      6.07      4.21      0.71
 -2.000 -2.000  1.000      8.17      8.68      0.84

