// Integrated intensity data: C:/GDrive/PostDoc-Juelich/7_NBMP-Nikolaos/6_D23-finalized/mag_600mK_1p2T_Hc/toto_1_ppm_culled.fsq
      h      k      l      Ical      Iobs     dIobs
  0.000  0.000 -1.000     23.99     29.82      0.46
 -0.000 -0.000 -1.000     18.67     22.61      0.43
  1.000  1.000 -1.000     12.38     15.55      0.40
  0.000  0.000 -2.000     20.67     15.22      0.54
 -1.000 -1.000 -1.000     16.27     24.67      0.57
 -0.000 -0.000 -2.000     15.55     12.73      0.56
 -1.000 -1.000 -2.000     13.65     13.10      1.56
 -1.000 -1.000  0.000      5.57     11.10      0.65
 -1.000 -1.000  2.000      3.89      8.19      0.59
 -2.000 -2.000  0.000      3.21      8.94      0.73
 -2.000 -2.000  1.000      2.87      5.20      0.37
 -1.000 -1.000 -3.000      4.22      4.77      0.48
 -1.000 -1.000 -4.000      4.96      2.83      0.56
 -2.000 -2.000 -1.000      3.23      0.00      0.21
 -2.000 -2.000  2.000      2.36      0.00      0.10
 -2.000 -2.000 -2.000      2.81      0.13      0.14
 -1.000 -1.000 -4.000      2.72      1.78      0.72
 -2.000 -2.000  3.000      1.76      0.01      0.12

