// Integrated intensity data: C:/GDrive/PostDoc-Juelich/7_NBMP-Nikolaos/6_D23-finalized/mag_600mK_1p8T_Hab/toto-cull_208_102m_m1m1m2p-1stSAT.fsq
      h      k      l      Ical      Iobs     dIobs
 -0.000 -0.000  0.000     35.22     36.73      0.45
  0.000  0.000  1.000     15.17     15.15      0.57
 -0.000 -0.000  1.000     13.28     11.51      0.46
  1.000  1.000  0.000     27.51     25.81      0.84
  1.000  1.000  1.000     20.41     19.23      0.53
 -1.000 -1.000  1.000     17.41     17.48      0.51
  0.000  0.000  2.000      4.13      3.07      0.80
 -0.000 -0.000  2.000      3.99      7.94      0.57
 -1.000 -1.000  2.000      7.22      7.22      0.60
  0.000  0.000  3.000      1.29      0.00      0.88
 -0.000 -0.000  3.000      1.34      5.15      1.81
 -1.000 -1.000 -3.000      3.52      4.98      3.42
 -1.000 -1.000  0.000     11.06     11.09      0.92
 -1.000 -1.000  3.000      2.61      1.06      1.23
 -1.000 -1.000  1.000      9.51      9.83      2.96
 -1.000 -1.000 -1.000      9.19      9.69      1.67
 -1.000 -1.000  2.000      6.03      4.93      1.66
  0.000  0.000  4.000      0.43      0.44      1.75
 -1.000 -1.000 -2.000      5.70      3.69      0.95
 -0.000 -0.000  4.000      0.47      1.72      0.80
  1.000  1.000  4.000      1.26      2.26      0.65
 -2.000 -2.000  0.000      5.95      5.14      0.69
 -1.000 -1.000  4.000      0.90      0.26      0.86
 -2.000 -2.000 -1.000      5.37      4.38      0.71
 -2.000 -2.000  1.000      5.05      4.22      0.70
 -1.000 -1.000  3.000      3.04      3.65      1.03

