// Integrated intensity data: C:/GDrive/PostDoc-Juelich/7_NBMP-Nikolaos/6_D23-finalized/mag_600mK_2p2T_Hc/NBMPO_600mK_2p2T_Hc_culled_unmerged.int
      h      k      l      Ical      Iobs     dIobs
  0.000  0.000  1.000     41.73     45.49      0.58
  0.000  0.000  1.000     41.14     44.22      0.60
  0.000  0.000 -1.000     41.73     45.12      0.75
  0.000  0.000 -1.000     41.14     44.20      0.56
  1.000  1.000 -1.000     52.66     50.59      0.73
  1.000  1.000  1.000     52.26     57.09      0.87
 -1.000 -1.000 -1.000     52.26     59.82      0.84
 -1.000 -1.000  1.000     52.66     59.83      0.91
  0.000  0.000 -2.000     14.77     11.27      0.47
  0.000  0.000  2.000     14.77     11.66      0.57
  0.000  0.000  2.000     15.10     12.44      0.53
  0.000  0.000 -2.000     15.10     13.15      0.51
  1.000  1.000 -2.000     24.76     26.40      0.58
 -1.000 -1.000 -2.000     24.41     26.09      0.70
  1.000  1.000  2.000     24.41     25.38      0.67
 -1.000 -1.000  2.000     24.76     27.50      0.71
  1.000  1.000 -3.000     10.43     15.42      1.11
 -1.000 -1.000  0.000     31.25     28.25      0.68
  1.000  1.000 -4.000      4.27      2.21      0.59
 -1.000 -1.000 -4.000      4.18      2.76      1.03
  1.000  1.000  4.000      4.18      3.37      0.71
 -1.000 -1.000  4.000      4.27      3.90      0.64
 -2.000 -2.000  0.000     17.46     20.35      0.64
  2.000  2.000  0.000     17.46     20.07      0.70
  2.000  2.000 -1.000     15.43     14.28      0.64
 -2.000 -2.000 -1.000     15.38      3.49      0.34
 -2.000 -2.000  1.000     15.43      7.73      0.43
  2.000  2.000  1.000     15.38     17.54      0.96
  1.000  1.000 -3.000      9.23      5.82      0.44
 -1.000 -1.000 -3.000      9.12      9.81      0.68
 -1.000 -1.000  3.000      9.23      9.02      0.77
  1.000  1.000  3.000      9.12      8.73      0.65

