// Integrated intensity data: C:/GDrive/PostDoc-Juelich/7_NBMP-Nikolaos/4_D23-6Tvmag/mag3T600mK/toto-1stSAT-cull-m1m1m1m.fsq
      h      k      l      Ical      Iobs     dIobs
 -0.000 -0.000  0.000     40.60     40.64      0.62
  0.000  0.000  1.000     20.25     20.79      0.46
 -0.000 -0.000  1.000     14.19     13.58      0.74
 -1.000 -1.000  0.000     32.20     31.34      0.67
  1.000  1.000  1.000     25.31     26.12      0.66
  0.000  0.000  2.000      5.64      5.60      0.45
 -1.000 -1.000  1.000     19.49     18.34      0.63
 -0.000 -0.000  2.000      4.39      4.34      0.51
  1.000  1.000  2.000     11.73     11.97      0.55
 -1.000 -1.000  2.000      8.02      7.59      1.83
  0.000  0.000  3.000      1.81      0.97      1.04
 -0.000 -0.000  3.000      1.52      4.23      1.87
  1.000  1.000  3.000      4.54      4.30      1.95
 -1.000 -1.000  0.000     13.03     13.80      1.34
 -1.000 -1.000  3.000      2.93      4.10      1.70
  0.000  0.000  4.000      0.63      0.85      1.59
 -1.000 -1.000  2.000      7.51      7.98      1.49
 -1.000 -1.000 -2.000      6.40      6.25      0.69
  1.000  1.000  4.000      1.65      0.76      0.67
 -0.000 -0.000  4.000      0.55      0.32      0.78
 -2.000 -2.000  0.000      7.02      8.09      0.89
 -2.000 -2.000 -1.000      6.46      6.51      0.67
  1.000  1.000 -3.000      3.87      3.15      0.77
 -1.000 -1.000  4.000      1.02      1.78      0.64
 -2.000 -2.000  1.000      5.83      6.95      0.66

