// Integrated intensity data: C:/GDrive/PostDoc-Juelich/7_NBMP-Nikolaos/6_D23-finalized/mag_600mK_3p8T_Hc/toto_ppm_culled.fsq
      h      k      l      Ical      Iobs     dIobs
  0.000  0.000 -0.000     29.41     23.89      6.99
 -0.000 -0.000  1.000     19.68     18.72      0.44
 -0.000 -0.000 -1.000     28.02     30.46      0.61
 -1.000 -1.000  1.000     22.47     21.66      0.56
 -0.000 -0.000  2.000     17.43     16.13      0.52
  1.000  1.000  1.000     13.65     12.46      0.59
 -1.000 -1.000  2.000     19.97     22.28      0.62
 -0.000 -0.000 -2.000     19.03     19.86      0.52
 -0.000 -0.000  3.000     12.44     15.20      1.53
  1.000  1.000 -3.000     13.51      5.87      1.40
  1.000  1.000  0.000      8.64      4.98      2.26
  1.000  1.000  3.000      6.54      6.56      0.73
 -0.000 -0.000  4.000      7.37      6.83      1.96
  1.000  1.000 -4.000      7.73      7.03      0.77
 -2.000 -2.000  0.000      4.44      3.49      0.49
 -2.000 -2.000  1.000      4.83      4.63      0.61

