// Integrated intensity data: C:/GDrive/PostDoc-Juelich/7_NBMP-Nikolaos/4_D23-6Tvmag/mag4p4T600mK/toto-cull-112m.fsq
      h      k      l      Ical      Iobs     dIobs
  0.000  0.000  0.000     27.61     27.57      0.68
 -0.000 -0.000 -1.000     13.66     13.80      0.43
  0.000  0.000 -1.000      9.55      9.30      0.61
 -1.000 -1.000  0.000     21.92     21.06      0.57
 -1.000 -1.000 -1.000     16.91     17.46      0.55
 -0.000 -0.000 -2.000      3.82      3.58      0.39
 -1.000 -1.000  1.000     13.46     14.54      0.75
  0.000  0.000 -2.000      2.87      2.79      0.46
 -1.000 -1.000 -2.000      7.72      8.12      0.63
  1.000  1.000 -2.000      5.58      6.64      1.34
 -0.000 -0.000 -3.000      1.22      0.18      1.27
  0.000  0.000 -3.000      0.97      1.03      1.73
 -1.000 -1.000 -3.000      2.95      5.66      3.55
 -1.000 -1.000  0.000      8.84      8.46      0.80
  1.000  1.000 -3.000      2.04      3.92      2.52
 -1.000 -1.000  1.000      7.83      7.90      2.02
  1.000  1.000  1.000      7.15      6.01      2.63
 -0.000 -0.000 -4.000      0.42      0.20      2.29
 -1.000 -1.000 -2.000      4.33      5.04      0.99
 -1.000 -1.000 -4.000      1.06      2.09      1.46
  0.000  0.000 -4.000      0.34      0.33      1.38
 -2.000 -2.000  0.000      4.77      4.57      0.69
 -2.000 -2.000 -1.000      4.36      4.27      0.91
  1.000  1.000 -4.000      0.71      0.43      1.14
  1.000  1.000 -3.000      2.62      3.65      0.77
 -2.000 -2.000  1.000      3.99      3.43      0.68

