T(K),B(Oe),B(T),Cp(mu J/K)
0.57813037,-0.062,-6.2E-6,11.408747
0.60300534,-0.062,-6.2E-6,12.458827
0.62561366,-0.062,-6.2E-6,13.433652
0.64641491,-0.062,-6.2E-6,14.314232
0.66577663,-0.062,-6.2E-6,15.10487
0.68396166,-0.062,-6.2E-6,15.806176
0.70117286,-0.062,-6.2E-6,16.440155
0.71755222,-0.062,-6.2E-6,17.031653
0.73319058,-0.062,-6.2E-6,17.606566
0.74816017,-0.062,-6.2E-6,18.178555
0.76250766,-0.062,-6.2E-6,18.760457
0.77627159,-0.062,-6.2E-6,19.34808
0.7894888,-0.062,-6.2E-6,19.933013
0.80219988,-0.062,-6.2E-6,20.499201
0.81444536,-0.062,-6.2E-6,21.048547
0.82625467,-0.062,-6.2E-6,21.577776
0.83766154,-0.062,-6.2E-6,22.097247
0.84868525,-0.062,-6.2E-6,22.627072
0.85934923,-0.062,-6.2E-6,23.169929
0.86965993,-0.062,-6.2E-6,23.732724
0.8796403,-0.062,-6.2E-6,24.292983
0.88930311,-0.062,-6.2E-6,24.851569
0.89866408,-0.062,-6.2E-6,25.39449
0.9077405,-0.062,-6.2E-6,25.941166
0.91654666,-0.062,-6.2E-6,26.473667
0.92510165,-0.062,-6.2E-6,27.019979
0.93341349,-0.062,-6.2E-6,27.549636
0.94149258,-0.062,-6.2E-6,28.08496
0.94934643,-0.062,-6.2E-6,28.624484
0.95699046,-0.062,-6.2E-6,29.168191
0.96442879,-0.062,-6.2E-6,29.716229
0.97166331,-0.062,-6.2E-6,30.298892
0.97870248,-0.062,-6.2E-6,30.876152
0.98556027,-0.062,-6.2E-6,31.443734
0.99223923,-0.062,-6.2E-6,32.028083
0.99874092,-0.062,-6.2E-6,32.614147
1.0050699,-0.062,-6.2E-6,33.211482
1.0112489,-0.062,-6.2E-6,33.804021
1.0172587,-0.062,-6.2E-6,34.478904
1.0231141,-0.062,-6.2E-6,35.117737
1.0288215,-0.062,-6.2E-6,35.758104
1.0343877,-0.062,-6.2E-6,36.393335
1.0398045,-0.062,-6.2E-6,37.135395
1.0450716,-0.062,-6.2E-6,37.839874
1.0502099,-0.062,-6.2E-6,38.651361
1.0552164,-0.062,-6.2E-6,39.408316
1.060081,-0.062,-6.2E-6,40.231646
