T,Field,Field,C\-(p) (J\f:m(�)mole\+(-1)\f:m(�)K\+(-1))
0.66379,3999.853,0.3999853,4757.4437
0.68607,3999.853,0.3999853,5022.6699
0.70834,3999.853,0.3999853,5319.6708
0.73062,3999.853,0.3999853,5551.6982
0.7529,3999.853,0.3999853,5837.6668
0.77517,3999.853,0.3999853,6175.5665
0.79745,3999.853,0.3999853,6475.9624
0.81973,3999.853,0.3999853,6794.5331
0.842,3999.853,0.3999853,7129.8249
0.86428,3999.853,0.3999853,7526.4615
0.88655,3999.853,0.3999853,7807.6684
0.90883,3999.853,0.3999853,8232.8247
0.93111,3999.853,0.3999853,8806.339
0.95338,3999.853,0.3999853,9593.4749
0.97566,3999.853,0.3999853,10439.727
0.99794,3999.853,0.3999853,11478.311
1.02021,3999.853,0.3999853,12707.644
1.04249,3999.853,0.3999853,14304.874
1.06476,3999.853,0.3999853,16579.155
1.08704,3999.853,0.3999853,13553.074
1.10932,3999.853,0.3999853,12143.759
1.13159,3999.853,0.3999853,11769.959
1.15387,3999.853,0.3999853,11569.483
1.17615,3999.853,0.3999853,11542.875
1.19842,3999.853,0.3999853,11649.617
1.2207,3999.853,0.3999853,11764.776
1.24297,3999.853,0.3999853,12057.992
1.26525,3999.853,0.3999853,12640.32
1.28753,3999.853,0.3999853,10955.532
1.3098,3999.853,0.3999853,8821.7316
1.33208,3999.853,0.3999853,7848.1602
1.35435,3999.853,0.3999853,7323.6743
1.37663,3999.853,0.3999853,6918.776
1.39891,3999.853,0.3999853,6611.5602
1.42118,3999.853,0.3999853,6306.1835
1.44346,3999.853,0.3999853,6086.0098
1.46574,3999.853,0.3999853,5825.171
1.48801,3999.853,0.3999853,5647.7712
1.51029,3999.853,0.3999853,5446.681
1.53256,3999.853,0.3999853,5282.1483
0.75422,3999.853,0.3999853,5864.6378
0.77653,3999.853,0.3999853,6158.5422
0.79884,3999.853,0.3999853,6486.5443
0.82116,3999.853,0.3999853,6851.7247
0.84347,3999.853,0.3999853,7199.5001
0.86578,3999.853,0.3999853,7586.0164
0.8881,3999.853,0.3999853,8007.4925
0.91041,3999.853,0.3999853,8489.2431
0.93272,3999.853,0.3999853,9060.3578
0.95504,3999.853,0.3999853,9749.8747
0.97735,3999.853,0.3999853,10596.729
0.99966,3999.853,0.3999853,11641.108
1.02198,3999.853,0.3999853,12953.558
1.04429,3999.853,0.3999853,14406.719
1.0666,3999.853,0.3999853,14711.928
1.08892,3999.853,0.3999853,13672.03
1.11123,3999.853,0.3999853,12676.913
1.13354,3999.853,0.3999853,11999.869
1.15586,3999.853,0.3999853,11712.077
1.17817,3999.853,0.3999853,11641.872
1.20048,3999.853,0.3999853,11697.389
1.2228,3999.853,0.3999853,11904.036
1.24511,3999.853,0.3999853,12077.77
1.26742,3999.853,0.3999853,11514.178
1.28974,3999.853,0.3999853,10374.853
1.31205,3999.853,0.3999853,9178.6499
1.33436,3999.853,0.3999853,8186.8809
1.35668,3999.853,0.3999853,7483.9715
1.37899,3999.853,0.3999853,7006.8596
1.4013,3999.853,0.3999853,6646.2308
1.42362,3999.853,0.3999853,6347.0992
1.44593,3999.853,0.3999853,6089.9295
1.46824,3999.853,0.3999853,5860.2772
1.49056,3999.853,0.3999853,5655.4135
1.51287,3999.853,0.3999853,5466.9593
1.53518,3999.853,0.3999853,5294.267
1.5575,3999.853,0.3999853,5137.2457
1.57981,3999.853,0.3999853,4984.8391
1.60212,3999.853,0.3999853,4846.3556
1.62444,3999.853,0.3999853,4720.4381
0.65632,4999.88,0.499988,4747.7713
0.67895,4999.88,0.499988,5028.0739
0.70158,4999.88,0.499988,5298.3606
0.72421,4999.88,0.499988,5577.204
0.74684,4999.88,0.499988,5870.0863
0.76947,4999.88,0.499988,6185.3591
0.7921,4999.88,0.499988,6521.3976
0.81473,4999.88,0.499988,6864.8189
0.83736,4999.88,0.499988,7209.394
0.85999,4999.88,0.499988,7549.8569
0.88262,4999.88,0.499988,7894.3889
0.90525,4999.88,0.499988,8329.3659
0.92788,4999.88,0.499988,8902.4796
0.95051,4999.88,0.499988,9692.7942
0.97314,4999.88,0.499988,10733.757
0.99577,4999.88,0.499988,11980.505
1.0184,4999.88,0.499988,13560.257
1.04103,4999.88,0.499988,16017.235
1.06366,4999.88,0.499988,13790.028
1.08629,4999.88,0.499988,12019.473
1.10892,4999.88,0.499988,11549.362
1.13155,4999.88,0.499988,11355.96
1.15418,4999.88,0.499988,11269.892
1.17681,4999.88,0.499988,11264.54
1.19944,4999.88,0.499988,11338.609
1.22207,4999.88,0.499988,11493.517
1.2447,4999.88,0.499988,11801.103
1.26733,4999.88,0.499988,12395.98
1.28996,4999.88,0.499988,10953.35
1.31259,4999.88,0.499988,8766.6685
1.33522,4999.88,0.499988,7734.9534
1.35785,4999.88,0.499988,7134.115
1.38048,4999.88,0.499988,6705.2942
1.40311,4999.88,0.499988,6358.8771
1.42574,4999.88,0.499988,6063.415
1.44837,4999.88,0.499988,5802.9916
1.471,4999.88,0.499988,5578.5253
1.49363,4999.88,0.499988,5369.447
1.51626,4999.88,0.499988,5176.7628
