# ha  Sx  Sy  Sz
0.000000000000000000e+00 1.110134933333056227e-05 -3.668291933333191288e-05 -2.878743305333343475e-04
1.000000000000000056e-01 1.475129770733333602e-02 5.434602359999620900e-05 -2.162562061333497398e-04
2.000000000000000111e-01 2.949860620126667360e-02 2.784263760000380239e-05 9.466317753332484472e-05
2.999999999999999889e-01 4.416456972959999228e-02 1.678593813334325568e-05 4.226636540666708756e-04
4.000000000000000222e-01 6.196457491106667492e-02 -1.147017899999997453e-05 6.043184486665964257e-05
5.000000000000000000e-01 7.695428761873333856e-02 -9.160392999999993662e-06 3.596522219999620789e-05
5.999999999999999778e-01 9.168233346953340301e-02 -7.603245933333322682e-06 2.066437126666049220e-05
6.999999999999999556e-01 1.065065858756666928e-01 5.961971266665095779e-06 -1.774416732666637985e-04
8.000000000000000444e-01 1.211819784579333120e-01 -2.544643999994268663e-06 -7.573388520666703453e-04
9.000000000000000222e-01 1.358394575205333354e-01 -3.429733933334216457e-06 -9.443856769333397374e-04
1.000000000000000000e+00 1.503086471440666649e-01 -2.709454533333495279e-06 -1.000231974133335274e-03
1.100000000000000089e+00 1.646886700349333710e-01 -2.107789333353223240e-07 -9.814880173999993886e-04
1.199999999999999956e+00 1.790151579981333618e-01 4.646557999988402970e-07 -9.186589542000047487e-04
1.300000000000000044e+00 1.933063611316666597e-01 3.106249333324116338e-07 -8.290084866666640011e-04
1.399999999999999911e+00 2.075725023843333350e-01 1.852475333331730435e-07 -7.234825660666639301e-04
1.500000000000000000e+00 2.218110582862666269e-01 -1.299265999987839792e-07 -6.113495518666652853e-04
1.600000000000000089e+00 2.358975546049998928e-01 -1.089035999999937119e-07 -5.256450800000022142e-04
1.699999999999999956e+00 2.495570202971998386e-01 -1.036429999999935252e-07 -5.322647113999964862e-04
1.800000000000000044e+00 2.632107939565334065e-01 -1.001827999999908616e-07 -5.396217767333184000e-04
1.899999999999999911e+00 2.768603814782000794e-01 -9.753059999999733302e-08 -5.475699059333403096e-04
2.000000000000000000e+00 2.905066767971998809e-01 -9.530486666666791774e-08 -5.560449146666633776e-04
2.100000000000000089e+00 3.041503747206001917e-01 -9.341486666666893777e-08 -5.649868496666624008e-04
2.200000000000000178e+00 3.177920264770667247e-01 -9.192713333333121402e-08 -5.743370990666586988e-04
2.299999999999999822e+00 3.314320760031332913e-01 -9.062280000000135594e-08 -5.840366464000027683e-04
2.399999999999999911e+00 3.450708857470000668e-01 -8.984180000000200559e-08 -5.940244972000001010e-04
2.500000000000000000e+00 3.587087554708666137e-01 -8.935613333332997954e-08 -6.042361409333304014e-04
2.600000000000000089e+00 3.723459361156001290e-01 -8.950093333333199926e-08 -6.146020093999954390e-04
2.700000000000000178e+00 3.859826401621333503e-01 -9.038646666666963839e-08 -6.250458732666707437e-04
2.799999999999999822e+00 3.996190494244665770e-01 -9.136686666666783311e-08 -6.354831477999977728e-04
2.899999999999999911e+00 4.132553209532663363e-01 -9.297333333333448879e-08 -6.458190650000133516e-04
3.000000000000000000e+00 4.268915915442664244e-01 -9.492046666666670630e-08 -6.559466581333279166e-04
3.100000000000000089e+00 4.405279811864002970e-01 -9.675499999999889671e-08 -6.657445147999953988e-04
3.200000000000000178e+00 4.541645957293999891e-01 -9.815013333333339996e-08 -6.750742381999981457e-04
3.299999999999999822e+00 4.678015289845999236e-01 -9.972119999999901495e-08 -6.837775397333532758e-04
3.399999999999999911e+00 4.814388644514666638e-01 -1.007665333333316498e-07 -6.916728734666655878e-04
3.500000000000000000e+00 4.950766768500001191e-01 -1.010521999999995978e-07 -6.985515376666671028e-04
3.600000000000000089e+00 5.087150336781999238e-01 -1.013317999999984510e-07 -7.041731853333492485e-04
3.700000000000000178e+00 5.223539970562666168e-01 -1.007875333333325207e-07 -7.082607949333352476e-04
3.799999999999999822e+00 5.359936262094664450e-01 -9.952320000000122565e-08 -7.104955567333457378e-04
3.899999999999999911e+00 5.496339810707332463e-01 -9.816453333333338453e-08 -7.105131012666583267e-04
4.000000000000000000e+00 5.632751274651996987e-01 -9.563419999999918488e-08 -7.079019721333439140e-04
4.099999999999999645e+00 5.769171446269333314e-01 -9.180913333333389925e-08 -7.022087839333199071e-04
