# hc  Sx  Sy  Sz
0.000000000000000000e+00 1.110134933333056227e-05 -3.668291933333191288e-05 -2.878743305333343475e-04
1.000000000000000056e-01 -9.965636200005690320e-06 2.771669820000877138e-05 1.830621515739999303e-02
2.000000000000000111e-01 -2.825405933332753833e-06 7.430617533315469400e-06 3.543877721133333741e-02
2.999999999999999889e-01 2.443237726666867954e-05 -6.381893166666424504e-05 5.208065430546666291e-02
4.000000000000000222e-01 1.533204573333532986e-05 -4.383899333334125703e-05 6.933519907593331533e-02
5.000000000000000000e-01 7.501092933340225760e-06 -2.127458000000310339e-05 8.599864633013333537e-02
5.999999999999999778e-01 2.012632500000863546e-05 -5.921154133332853146e-05 1.028622558471333215e-01
6.999999999999999556e-01 1.186442913333104163e-05 -3.663379526666004726e-05 1.192964084322666873e-01
8.000000000000000444e-01 7.114045199994404975e-06 -2.354332673332552308e-05 1.353023207327333777e-01
9.000000000000000222e-01 4.254210666664808429e-06 -1.557489720000286018e-05 1.510747777378000367e-01
1.000000000000000000e+00 2.502979400002362194e-06 -1.059894059999844164e-05 1.666976410713333356e-01
1.100000000000000089e+00 1.459278133336529080e-06 -7.512683066659050357e-06 1.822175504946000058e-01
1.199999999999999956e+00 9.165368000021680991e-07 -5.712922799994752299e-06 1.976634834262666063e-01
1.300000000000000044e+00 7.714348000022032001e-07 -4.862248733339094681e-06 2.130546143366000289e-01
1.399999999999999911e+00 9.928791999959539260e-07 -4.774432533335056311e-06 2.284041712774000643e-01
1.500000000000000000e+00 1.647636933330914326e-06 -5.345032333344145190e-06 2.437215571222667299e-01
1.600000000000000089e+00 1.018042099999903277e-04 2.779853613333435313e-05 2.553270409804667684e-01
1.699999999999999956e+00 9.859595919999852311e-05 2.617143286666572327e-05 2.705968828876000321e-01
1.800000000000000044e+00 9.490419766666572125e-05 2.799912473333492866e-05 2.858440765466667699e-01
1.899999999999999911e+00 9.087439646666694854e-05 3.509583986666668003e-05 3.010653252149334547e-01
2.000000000000000000e+00 6.671735399999953930e-05 7.598958840000209585e-05 3.162210714292000846e-01
2.100000000000000089e+00 -7.164213213333316783e-05 7.121057146666725883e-05 3.301710263643999332e-01
2.200000000000000178e+00 -1.082387999999972833e-07 6.836306666666735550e-08 3.333333296088666353e-01
2.299999999999999822e+00 -3.888386666666622423e-08 1.421353333333331988e-08 3.333333330758666002e-01
2.399999999999999911e+00 -4.337866666666453743e-09 -4.538999999999899230e-09 3.333333334822667915e-01
2.500000000000000000e+00 1.399279999999934726e-08 -5.750466666666676112e-09 3.333333336599333951e-01
2.600000000000000089e+00 4.349319999999986962e-08 3.610066666666692478e-09 3.333333341845333142e-01
2.700000000000000178e+00 1.566064666666655819e-07 3.157580000000027140e-08 3.333333384559331036e-01
2.799999999999999822e+00 -7.235683453333360186e-05 -2.136710273333378987e-05 3.368903771934667613e-01
2.899999999999999911e+00 -1.765501074066669731e-03 -9.404335982666650086e-04 3.518083858051999635e-01
3.000000000000000000e+00 -3.484456830333332832e-03 -3.007604672066671071e-03 3.773938909384667584e-01
3.100000000000000089e+00 -3.878459873466663915e-03 -3.890029603666674517e-03 4.023284397301332693e-01
3.200000000000000178e+00 -3.911373402866656808e-03 -4.167315699133338457e-03 4.254404573449333538e-01
3.299999999999999822e+00 -3.796995295000004083e-03 -4.159258986666664916e-03 4.470770100411999848e-01
3.399999999999999911e+00 -3.615535205666666873e-03 -4.007533776866657564e-03 4.675730211373334000e-01
3.500000000000000000e+00 -3.391830596866671731e-03 -3.792246817666660493e-03 4.871812751671332209e-01
3.600000000000000089e+00 -3.146702905533333566e-03 -3.547845543733327452e-03 5.060888919443999878e-01
3.700000000000000178e+00 -2.894976211133326593e-03 -3.290086216600002916e-03 5.244359439503333276e-01
3.799999999999999822e+00 -2.644050486799996800e-03 -3.028416906600008961e-03 5.423290421382667148e-01
3.899999999999999911e+00 -2.397708545533341722e-03 -2.768131275933336140e-03 5.598507174782001439e-01
4.000000000000000000e+00 -2.157805667400003371e-03 -2.511817738266660435e-03 5.770659212989334153e-01
4.099999999999999645e+00 -1.924981581733329131e-03 -2.260327675133328492e-03 5.940266344192666192e-01
4.200000000000000178e+00 -1.699055273933335313e-03 -2.013253120999992582e-03 6.107752748838670698e-01
4.299999999999999822e+00 -1.479085410933324036e-03 -1.769152027799996644e-03 6.273474517306666387e-01
4.400000000000000355e+00 -1.263224907066656235e-03 -1.525359388199993421e-03 6.437747417347334800e-01
4.500000000000000000e+00 -1.047993315600003047e-03 -1.277095622200007238e-03 6.600892680112002697e-01
4.599999999999999645e+00 -8.257294977999984692e-04 -1.014325490599997642e-03 6.763402646603332569e-01
4.700000000000000178e+00 -9.947371859999980508e-04 -1.212041525199999015e-03 6.920162443192667823e-01
4.799999999999999822e+00 -8.851805734000011512e-04 -1.039393220466681587e-03 7.073596515045998956e-01
4.900000000000000355e+00 -7.854085181999987796e-04 -8.683412100666655729e-04 7.226621781491338048e-01
5.000000000000000000e+00 -4.711644236666725897e-04 -2.190949519999997467e-04 7.375479683018664190e-01
5.099999999999999645e+00 -3.057675189333444580e-04 -1.430924451333297914e-04 7.528293534175336532e-01
5.200000000000000178e+00 1.606245591800006421e-03 7.705458782666618463e-04 7.679348617560000090e-01
5.299999999999999822e+00 1.312280523600000684e-03 6.493688820666667716e-04 7.831831444230001882e-01
5.400000000000000355e+00 1.059690204199992920e-03 5.432512429333353609e-04 7.983986485751332074e-01
5.500000000000000000e+00 8.225622636666645544e-04 4.408393246666663799e-04 8.135908751935333472e-01
5.599999999999999645e+00 -4.749111333302024961e-07 -2.679587999968961139e-07 8.286219959451336381e-01
5.700000000000000178e+00 6.439164000066671837e-07 3.811053999985208079e-07 8.437105920384665447e-01
5.799999999999999822e+00 1.561236533328032824e-06 9.621881999975921473e-07 8.587840950405999374e-01
5.900000000000000355e+00 2.415584200002010086e-06 1.539377999996520027e-06 8.738437338410001143e-01
6.000000000000000000e+00 3.334989000003396767e-06 2.183856733333088113e-06 8.888904339693332046e-01
6.099999999999999645e+00 4.540845066665818297e-06 3.038109533335757016e-06 9.039248407618665215e-01
6.200000000000000178e+00 6.655524866669734815e-06 4.524697399995972308e-06 9.189473550497330168e-01
6.299999999999999822e+00 1.327004213333797150e-05 9.111800866669505128e-06 9.339591303693999258e-01
6.400000000000000355e+00 1.585065579999606669e-05 1.087635846666724730e-05 9.489538674804003371e-01
6.500000000000000000e+00 1.002791506667007545e-05 6.786725866667064899e-06 9.639187118677998711e-01
6.599999999999999645e+00 5.495905199999022089e-06 3.569483066668790602e-06 9.788068720436002845e-01
6.700000000000000178e+00 1.110291333336236071e-06 7.552849333339560521e-07 9.930768247709328422e-01
6.799999999999999822e+00 6.666666632498800115e-14 -1.807003620809174032e-21 9.999999892141330227e-01
6.900000000000000355e+00 2.258754526011467540e-22 6.666666652262902301e-14 9.999999991340001726e-01
7.000000000000000000e+00 -6.666666663556674258e-14 -2.000000001466928945e-13 9.999999996925997836e-01
7.099999999999999645e+00 6.117460174614390763e-23 -6.666666676732742803e-14 9.999999998332667062e-01
7.200000000000000178e+00 6.666666644733719735e-14 -9.411477191714447689e-23 9.999999998937331158e-01
7.299999999999999822e+00 1.333333333323080959e-13 -6.666666680497333456e-14 9.999999999296000919e-01
7.400000000000000355e+00 -1.333333333758361785e-13 -6.666666664497821921e-14 9.999999999504666226e-01
7.500000000000000000e+00 -6.666666647998326559e-14 5.646886315028668849e-23 9.999999999634667791e-01
7.599999999999999645e+00 -7.808584982500581721e-23 -6.666666670144707900e-14 9.999999999711333132e-01
7.700000000000000178e+00 -1.333333332520164193e-13 2.823443157514334424e-23 9.999999999770670112e-01
7.799999999999999822e+00 6.666666662497882822e-14 9.411477191714448571e-24 9.999999999811335361e-01
7.900000000000000355e+00 -6.666666662909635398e-14 -6.666666679556185793e-14 9.999999999841336917e-01
